,county,state,Land Area (mi^2)
0,UNITED STATES,,3531905.43
1,ALABAMA,,50645.33
2,Autauga,Alabama,594.44
3,Baldwin,Alabama,1589.78
4,Barbour,Alabama,884.88
5,Bibb,Alabama,622.58
6,Blount,Alabama,644.78
7,Bullock,Alabama,622.81
8,Butler,Alabama,776.83
9,Calhoun,Alabama,605.87
10,Chambers,Alabama,596.53
11,Cherokee,Alabama,553.7
12,Chilton,Alabama,692.85
13,Choctaw,Alabama,913.5
14,Clarke,Alabama,1238.47
15,Clay,Alabama,603.96
16,Cleburne,Alabama,560.1
17,Coffee,Alabama,678.97
18,Colbert,Alabama,592.62
19,Conecuh,Alabama,850.16
20,Coosa,Alabama,650.93
21,Covington,Alabama,1030.46
22,Crenshaw,Alabama,608.84
23,Cullman,Alabama,734.84
24,Dale,Alabama,561.15
25,Dallas,Alabama,978.7
26,DeKalb,Alabama,777.09
27,Elmore,Alabama,618.49
28,Escambia,Alabama,945.08
29,Etowah,Alabama,534.99
30,Fayette,Alabama,627.66
31,Franklin,Alabama,633.82
32,Geneva,Alabama,574.41
33,Greene,Alabama,647.11
34,Hale,Alabama,643.94
35,Henry,Alabama,561.75
36,Houston,Alabama,579.82
37,Jackson,Alabama,1077.87
38,Jefferson,Alabama,1111.28
39,Lamar,Alabama,604.85
40,Lauderdale,Alabama,667.7
41,Lawrence,Alabama,690.68
42,Lee,Alabama,607.54
43,Limestone,Alabama,559.94
44,Lowndes,Alabama,715.91
45,Macon,Alabama,608.89
46,Madison,Alabama,801.59
47,Marengo,Alabama,976.88
48,Marion,Alabama,742.29
49,Marshall,Alabama,565.84
50,Mobile,Alabama,1229.44
51,Monroe,Alabama,1025.68
52,Montgomery,Alabama,784.25
53,Morgan,Alabama,579.34
54,Perry,Alabama,719.66
55,Pickens,Alabama,881.41
56,Pike,Alabama,672.09
57,Randolph,Alabama,580.55
58,Russell,Alabama,641.14
59,St. Clair,Alabama,631.9
60,Shelby,Alabama,784.93
61,Sumter,Alabama,903.89
62,Talladega,Alabama,736.78
63,Tallapoosa,Alabama,716.52
64,Tuscaloosa,Alabama,1321.76
65,Walker,Alabama,791.19
66,Washington,Alabama,1080.21
67,Wilcox,Alabama,888.5
68,Winston,Alabama,612.98
69,ALASKA,,570640.95
70,Aleutians East,Alaska,6981.94
71,Aleutians West,Alaska,4390.28
72,Anchorage,Alaska,1704.68
73,Bethel,Alaska,40570.0
74,Bristol Bay,Alaska,503.84
75,Denali,Alaska,12751.41
76,Dillingham,Alaska,18568.78
77,Fairbanks North Star,Alaska,7338.21
78,Haines,Alaska,2318.6
79,Hoonah-Angoon,Alaska,7524.92
80,Juneau,Alaska,2701.93
81,Kenai Peninsula,Alaska,16075.33
82,Ketchikan Gateway,Alaska,4858.41
83,Kodiak Island,Alaska,6549.58
84,Lake and Peninsula,Alaska,23652.01
85,Matanuska-Susitna,Alaska,24607.9
86,Nome,Alaska,22961.76
87,North Slope,Alaska,88695.41
88,Northwest Arctic,Alaska,35572.58
89,Petersburg,Alaska,3281.98
90,Prince of Wales-Hyder,Alaska,3922.87
91,Sitka,Alaska,2870.34
92,Skagway,Alaska,452.33
93,Southeast Fairbanks,Alaska,24768.81
94,Valdez-Cordova,Alaska,34239.88
95,Wade Hampton,Alaska,17081.43
96,Wrangell,Alaska,2541.48
97,Yakutat,Alaska,7649.46
98,Yukon-Koyukuk,Alaska,145504.79
99,ARIZONA,,113594.08
100,Apache,Arizona,11197.52
101,Cochise,Arizona,6165.69
102,Coconino,Arizona,18618.89
103,Gila,Arizona,4757.93
104,Graham,Arizona,4622.6
105,Greenlee,Arizona,1843.13
106,La Paz,Arizona,4499.63
107,Maricopa,Arizona,9200.14
108,Mohave,Arizona,13311.08
109,Navajo,Arizona,9950.42
110,Pima,Arizona,9187.04
111,Pinal,Arizona,5365.61
112,Santa Cruz,Arizona,1236.92
113,Yavapai,Arizona,8123.5
114,Yuma,Arizona,5513.99
115,ARKANSAS,,52035.48
116,Arkansas,Arkansas,988.77
117,Ashley,Arkansas,925.35
118,Baxter,Arkansas,554.28
119,Benton,Arkansas,847.36
120,Boone,Arkansas,590.23
121,Bradley,Arkansas,649.23
122,Calhoun,Arkansas,628.58
123,Carroll,Arkansas,630.09
124,Chicot,Arkansas,644.3
125,Clark,Arkansas,866.07
126,Clay,Arkansas,639.47
127,Cleburne,Arkansas,553.69
128,Cleveland,Arkansas,597.78
129,Columbia,Arkansas,766.05
130,Conway,Arkansas,552.25
131,Craighead,Arkansas,707.21
132,Crawford,Arkansas,593.09
133,Crittenden,Arkansas,609.76
134,Cross,Arkansas,616.38
135,Dallas,Arkansas,667.39
136,Desha,Arkansas,768.15
137,Drew,Arkansas,828.36
138,Faulkner,Arkansas,647.88
139,Franklin,Arkansas,608.86
140,Fulton,Arkansas,618.19
141,Garland,Arkansas,677.78
142,Grant,Arkansas,631.81
143,Greene,Arkansas,577.7
144,Hempstead,Arkansas,727.52
145,Hot Spring,Arkansas,615.2
146,Howard,Arkansas,588.55
147,Independence,Arkansas,763.95
148,Izard,Arkansas,580.58
149,Jackson,Arkansas,633.94
150,Jefferson,Arkansas,870.75
151,Johnson,Arkansas,659.8
152,Lafayette,Arkansas,528.27
153,Lawrence,Arkansas,587.61
154,Lee,Arkansas,602.62
155,Lincoln,Arkansas,561.52
156,Little River,Arkansas,532.25
157,Logan,Arkansas,708.13
158,Lonoke,Arkansas,770.73
159,Madison,Arkansas,834.26
160,Marion,Arkansas,597.01
161,Miller,Arkansas,625.58
162,Mississippi,Arkansas,900.57
163,Monroe,Arkansas,607.12
164,Montgomery,Arkansas,779.88
165,Nevada,Arkansas,617.84
166,Newton,Arkansas,820.9
167,Ouachita,Arkansas,732.78
168,Perry,Arkansas,551.4
